statisticcat_desc,source_desc,Value,freq_desc,congr_district_code,unit_desc,begin_code,CV (%),domaincat_desc,end_code,county_ansi,country_name,watershed_desc,county_name,prodn_practice_desc,state_alpha,watershed_code,commodity_desc,domain_desc,class_desc,load_time,short_desc,state_name,reference_period_desc,asd_code,year,sector_desc,state_fips_code,county_code,agg_level_desc,week_ending,asd_desc,country_code,state_ansi,group_desc,zip_5,region_desc,location_desc,util_practice_desc
YIELD,SURVEY,138.1,ANNUAL,,BU / ACRE,00,7.8,NOT SPECIFIED,00,041,UNITED STATES,,DELTA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,10,2021,CROPS,26,041,COUNTY,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, DELTA",GRAIN
YIELD,SURVEY,149.6,ANNUAL,,BU / ACRE,00,9.8,NOT SPECIFIED,00,043,UNITED STATES,,DICKINSON,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,10,2021,CROPS,26,043,COUNTY,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, DICKINSON",GRAIN
YIELD,SURVEY,155.1,ANNUAL,,BU / ACRE,00,9.0,NOT SPECIFIED,00,019,UNITED STATES,,BENZIE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,20,2021,CROPS,26,019,COUNTY,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, BENZIE",GRAIN
YIELD,SURVEY,149,ANNUAL,,BU / ACRE,00,3.9,NOT SPECIFIED,00,029,UNITED STATES,,CHARLEVOIX,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,20,2021,CROPS,26,029,COUNTY,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, CHARLEVOIX",GRAIN
YIELD,SURVEY,135.8,ANNUAL,,BU / ACRE,00,12.7,NOT SPECIFIED,00,047,UNITED STATES,,EMMET,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,20,2021,CROPS,26,047,COUNTY,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, EMMET",GRAIN
YIELD,SURVEY,156.8,ANNUAL,,BU / ACRE,00,7.9,NOT SPECIFIED,00,055,UNITED STATES,,GRAND TRAVERSE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,20,2021,CROPS,26,055,COUNTY,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",GRAIN
YIELD,SURVEY,120.2,ANNUAL,,BU / ACRE,00,5.3,NOT SPECIFIED,00,079,UNITED STATES,,KALKASKA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,20,2021,CROPS,26,079,COUNTY,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, KALKASKA",GRAIN
YIELD,SURVEY,113.2,ANNUAL,,BU / ACRE,00,5.7,NOT SPECIFIED,00,089,UNITED STATES,,LEELANAU,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,20,2021,CROPS,26,089,COUNTY,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, LEELANAU",GRAIN
YIELD,SURVEY,140.5,ANNUAL,,BU / ACRE,00,10.5,NOT SPECIFIED,00,101,UNITED STATES,,MANISTEE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,20,2021,CROPS,26,101,COUNTY,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, MANISTEE",GRAIN
YIELD,SURVEY,136.4,ANNUAL,,BU / ACRE,00,2.9,NOT SPECIFIED,00,165,UNITED STATES,,WEXFORD,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,20,2021,CROPS,26,165,COUNTY,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, WEXFORD",GRAIN
