asd_code,sector_desc,watershed_code,state_ansi,util_practice_desc,group_desc,Value,prodn_practice_desc,begin_code,short_desc,zip_5,congr_district_code,commodity_desc,domaincat_desc,freq_desc,location_desc,region_desc,reference_period_desc,agg_level_desc,unit_desc,week_ending,country_code,year,end_code,class_desc,domain_desc,load_time,watershed_desc,country_name,state_name,county_ansi,asd_desc,source_desc,county_code,state_alpha,statisticcat_desc,county_name,state_fips_code,CV (%)
10,CROPS,00000000,26,GRAIN,FIELD CROPS,89.7,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, UPPER PENINSULA, DELTA",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,041,UPPER PENINSULA,SURVEY,041,MI,YIELD,DELTA,26,12.8
10,CROPS,00000000,26,GRAIN,FIELD CROPS,108.9,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, UPPER PENINSULA, DICKINSON",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,043,UPPER PENINSULA,SURVEY,043,MI,YIELD,DICKINSON,26,22.4
10,CROPS,00000000,26,GRAIN,FIELD CROPS,91.3,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, UPPER PENINSULA, MENOMINEE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,109,UPPER PENINSULA,SURVEY,109,MI,YIELD,MENOMINEE,26,20.8
20,CROPS,00000000,26,GRAIN,FIELD CROPS,112.2,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHWEST, CHARLEVOIX",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,029,NORTHWEST,SURVEY,029,MI,YIELD,CHARLEVOIX,26,8.2
20,CROPS,00000000,26,GRAIN,FIELD CROPS,106,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHWEST, EMMET",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,047,NORTHWEST,SURVEY,047,MI,YIELD,EMMET,26,7.6
20,CROPS,00000000,26,GRAIN,FIELD CROPS,112.5,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,055,NORTHWEST,SURVEY,055,MI,YIELD,GRAND TRAVERSE,26,4.5
20,CROPS,00000000,26,GRAIN,FIELD CROPS,89.9,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHWEST, LEELANAU",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,089,NORTHWEST,SURVEY,089,MI,YIELD,LEELANAU,26,5.0
20,CROPS,00000000,26,GRAIN,FIELD CROPS,124.1,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHWEST, MANISTEE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,101,NORTHWEST,SURVEY,101,MI,YIELD,MANISTEE,26,7.6
20,CROPS,00000000,26,GRAIN,FIELD CROPS,160.3,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHWEST, MISSAUKEE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,113,NORTHWEST,SURVEY,113,MI,YIELD,MISSAUKEE,26,4.5
20,CROPS,00000000,26,GRAIN,FIELD CROPS,130.2,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHWEST, WEXFORD",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,165,NORTHWEST,SURVEY,165,MI,YIELD,WEXFORD,26,8.0
