state_ansi,region_desc,group_desc,zip_5,util_practice_desc,location_desc,asd_code,asd_desc,sector_desc,year,state_fips_code,week_ending,agg_level_desc,county_code,country_code,county_ansi,county_name,prodn_practice_desc,country_name,watershed_desc,commodity_desc,domain_desc,state_alpha,watershed_code,short_desc,reference_period_desc,state_name,class_desc,load_time,source_desc,Value,statisticcat_desc,unit_desc,congr_district_code,freq_desc,begin_code,domaincat_desc,end_code,CV (%)
26,,FIELD CROPS,,GRAIN,"MICHIGAN, UPPER PENINSULA, DICKINSON",10,UPPER PENINSULA,CROPS,2023,26,,COUNTY,043,9000,043,DICKINSON,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,146.3,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,9.9
26,,FIELD CROPS,,GRAIN,"MICHIGAN, UPPER PENINSULA, MENOMINEE",10,UPPER PENINSULA,CROPS,2023,26,,COUNTY,109,9000,109,MENOMINEE,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,133.6,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,8.6
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHWEST, ANTRIM",20,NORTHWEST,CROPS,2023,26,,COUNTY,009,9000,009,ANTRIM,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,141.1,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,5.3
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHWEST, BENZIE",20,NORTHWEST,CROPS,2023,26,,COUNTY,019,9000,019,BENZIE,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,121.4,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,14.7
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHWEST, CHARLEVOIX",20,NORTHWEST,CROPS,2023,26,,COUNTY,029,9000,029,CHARLEVOIX,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,119.2,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,6.5
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHWEST, EMMET",20,NORTHWEST,CROPS,2023,26,,COUNTY,047,9000,047,EMMET,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,123.1,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,11.9
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",20,NORTHWEST,CROPS,2023,26,,COUNTY,055,9000,055,GRAND TRAVERSE,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,126.9,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,12.5
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHWEST, LEELANAU",20,NORTHWEST,CROPS,2023,26,,COUNTY,089,9000,089,LEELANAU,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,98.8,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,4.2
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHWEST, MANISTEE",20,NORTHWEST,CROPS,2023,26,,COUNTY,101,9000,101,MANISTEE,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,131.9,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,5.5
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHWEST, MISSAUKEE",20,NORTHWEST,CROPS,2023,26,,COUNTY,113,9000,113,MISSAUKEE,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,160.9,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,11.3
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHEAST, ALPENA",30,NORTHEAST,CROPS,2023,26,,COUNTY,007,9000,007,ALPENA,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,160.4,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,3.5
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHEAST, MONTMORENCY",30,NORTHEAST,CROPS,2023,26,,COUNTY,119,9000,119,MONTMORENCY,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,149.4,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,2.7
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHEAST, OGEMAW",30,NORTHEAST,CROPS,2023,26,,COUNTY,129,9000,129,OGEMAW,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,161,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,3.3
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHEAST, OTSEGO",30,NORTHEAST,CROPS,2023,26,,COUNTY,137,9000,137,OTSEGO,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,154.4,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,13.1
26,,FIELD CROPS,,GRAIN,"MICHIGAN, NORTHEAST, PRESQUE ISLE",30,NORTHEAST,CROPS,2023,26,,COUNTY,141,9000,141,PRESQUE ISLE,ALL PRODUCTION PRACTICES,UNITED STATES,,CORN,TOTAL,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2024-02-23 15:00:00.000,SURVEY,118,YIELD,BU / ACRE,,ANNUAL,00,NOT SPECIFIED,00,10.2
