week_ending,Value,agg_level_desc,county_name,group_desc,county_ansi,prodn_practice_desc,end_code,CV (%),asd_code,statisticcat_desc,sector_desc,load_time,begin_code,year,watershed_code,watershed_desc,freq_desc,short_desc,country_name,commodity_desc,country_code,state_alpha,class_desc,state_name,state_fips_code,location_desc,domain_desc,county_code,state_ansi,zip_5,util_practice_desc,source_desc,asd_desc,region_desc,congr_district_code,reference_period_desc,domaincat_desc,unit_desc
,117.9,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,,ALL PRODUCTION PRACTICES,00,,10,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",TOTAL,998,26,,GRAIN,SURVEY,UPPER PENINSULA,,,YEAR,NOT SPECIFIED,BU / ACRE
,116.7,COUNTY,DELTA,FIELD CROPS,041,ALL PRODUCTION PRACTICES,00,,10,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, DELTA",TOTAL,041,26,,GRAIN,SURVEY,UPPER PENINSULA,,,YEAR,NOT SPECIFIED,BU / ACRE
,73.2,COUNTY,MENOMINEE,FIELD CROPS,109,ALL PRODUCTION PRACTICES,00,,10,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",TOTAL,109,26,,GRAIN,SURVEY,UPPER PENINSULA,,,YEAR,NOT SPECIFIED,BU / ACRE
,116.1,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,,ALL PRODUCTION PRACTICES,00,,20,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",TOTAL,998,26,,GRAIN,SURVEY,NORTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,91.7,COUNTY,BENZIE,FIELD CROPS,019,ALL PRODUCTION PRACTICES,00,,20,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHWEST, BENZIE",TOTAL,019,26,,GRAIN,SURVEY,NORTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,100,COUNTY,EMMET,FIELD CROPS,047,ALL PRODUCTION PRACTICES,00,,20,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHWEST, EMMET",TOTAL,047,26,,GRAIN,SURVEY,NORTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,145,COUNTY,GRAND TRAVERSE,FIELD CROPS,055,ALL PRODUCTION PRACTICES,00,,20,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",TOTAL,055,26,,GRAIN,SURVEY,NORTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,121.1,COUNTY,LEELANAU,FIELD CROPS,089,ALL PRODUCTION PRACTICES,00,,20,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHWEST, LEELANAU",TOTAL,089,26,,GRAIN,SURVEY,NORTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,119,COUNTY,MANISTEE,FIELD CROPS,101,ALL PRODUCTION PRACTICES,00,,20,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHWEST, MANISTEE",TOTAL,101,26,,GRAIN,SURVEY,NORTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,152.2,COUNTY,MISSAUKEE,FIELD CROPS,113,ALL PRODUCTION PRACTICES,00,,20,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHWEST, MISSAUKEE",TOTAL,113,26,,GRAIN,SURVEY,NORTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
