region_desc,congr_district_code,asd_desc,unit_desc,domaincat_desc,reference_period_desc,domain_desc,county_code,location_desc,state_fips_code,state_name,source_desc,zip_5,util_practice_desc,state_ansi,watershed_desc,year,watershed_code,freq_desc,short_desc,begin_code,load_time,state_alpha,class_desc,country_code,country_name,commodity_desc,Value,week_ending,asd_code,statisticcat_desc,CV (%),sector_desc,county_ansi,prodn_practice_desc,end_code,group_desc,agg_level_desc,county_name
,,UPPER PENINSULA,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,041,"MICHIGAN, UPPER PENINSULA, DELTA",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,147.9,,10,YIELD,9.5,CROPS,041,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,DELTA
,,UPPER PENINSULA,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,043,"MICHIGAN, UPPER PENINSULA, DICKINSON",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,151.3,,10,YIELD,2.1,CROPS,043,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,DICKINSON
,,UPPER PENINSULA,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,109,"MICHIGAN, UPPER PENINSULA, MENOMINEE",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,134.5,,10,YIELD,3.6,CROPS,109,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,MENOMINEE
,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,009,"MICHIGAN, NORTHWEST, ANTRIM",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,115.4,,20,YIELD,8.2,CROPS,009,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,ANTRIM
,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,019,"MICHIGAN, NORTHWEST, BENZIE",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,139.8,,20,YIELD,6.1,CROPS,019,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,BENZIE
,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,029,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,122.6,,20,YIELD,6.0,CROPS,029,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,CHARLEVOIX
,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,047,"MICHIGAN, NORTHWEST, EMMET",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,120.6,,20,YIELD,7.0,CROPS,047,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,EMMET
,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,055,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,113.2,,20,YIELD,7.8,CROPS,055,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,GRAND TRAVERSE
,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,089,"MICHIGAN, NORTHWEST, LEELANAU",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,113,,20,YIELD,9.3,CROPS,089,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,LEELANAU
,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,101,"MICHIGAN, NORTHWEST, MANISTEE",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,120.4,,20,YIELD,7.8,CROPS,101,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,MANISTEE
