reference_period_desc,agg_level_desc,unit_desc,week_ending,congr_district_code,commodity_desc,freq_desc,domaincat_desc,location_desc,region_desc,prodn_practice_desc,begin_code,short_desc,zip_5,asd_code,sector_desc,watershed_code,state_ansi,util_practice_desc,group_desc,Value,county_name,statisticcat_desc,state_fips_code,CV (%),state_name,asd_desc,county_ansi,source_desc,county_code,state_alpha,watershed_desc,country_name,country_code,year,class_desc,end_code,domain_desc,load_time
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, UPPER PENINSULA, DELTA",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,10,CROPS,00000000,26,GRAIN,FIELD CROPS,138.1,DELTA,YIELD,26,7.8,MICHIGAN,UPPER PENINSULA,041,SURVEY,041,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, UPPER PENINSULA, DICKINSON",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,10,CROPS,00000000,26,GRAIN,FIELD CROPS,149.6,DICKINSON,YIELD,26,9.8,MICHIGAN,UPPER PENINSULA,043,SURVEY,043,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHWEST, BENZIE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,20,CROPS,00000000,26,GRAIN,FIELD CROPS,155.1,BENZIE,YIELD,26,9.0,MICHIGAN,NORTHWEST,019,SURVEY,019,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHWEST, CHARLEVOIX",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,20,CROPS,00000000,26,GRAIN,FIELD CROPS,149,CHARLEVOIX,YIELD,26,3.9,MICHIGAN,NORTHWEST,029,SURVEY,029,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHWEST, EMMET",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,20,CROPS,00000000,26,GRAIN,FIELD CROPS,135.8,EMMET,YIELD,26,12.7,MICHIGAN,NORTHWEST,047,SURVEY,047,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,20,CROPS,00000000,26,GRAIN,FIELD CROPS,156.8,GRAND TRAVERSE,YIELD,26,7.9,MICHIGAN,NORTHWEST,055,SURVEY,055,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHWEST, KALKASKA",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,20,CROPS,00000000,26,GRAIN,FIELD CROPS,120.2,KALKASKA,YIELD,26,5.3,MICHIGAN,NORTHWEST,079,SURVEY,079,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHWEST, LEELANAU",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,20,CROPS,00000000,26,GRAIN,FIELD CROPS,113.2,LEELANAU,YIELD,26,5.7,MICHIGAN,NORTHWEST,089,SURVEY,089,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHWEST, MANISTEE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,20,CROPS,00000000,26,GRAIN,FIELD CROPS,140.5,MANISTEE,YIELD,26,10.5,MICHIGAN,NORTHWEST,101,SURVEY,101,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHWEST, WEXFORD",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,20,CROPS,00000000,26,GRAIN,FIELD CROPS,136.4,WEXFORD,YIELD,26,2.9,MICHIGAN,NORTHWEST,165,SURVEY,165,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
