date,TMAX,TMIN,state,county
2022-12-20,26.333333333333332,14.666666666666666,26,041
2022-12-21,20.666666666666668,-2.6666666666666665,26,041
2022-12-22,31.5,1.0,26,041
2022-12-23,27.666666666666668,7.333333333333333,26,041
2022-12-24,17.666666666666668,12.0,26,041
2022-12-25,18.0,10.333333333333334,26,041
2022-12-26,19.333333333333332,11.0,26,041
2022-12-27,21.666666666666668,13.0,26,041
2022-12-28,30.0,18.0,26,041
2022-12-29,37.0,28.333333333333332,26,041
2022-12-30,43.0,33.0,26,041
2022-12-31,38.666666666666664,31.0,26,041
2022-12-20,18.0,6.5,26,043
2022-12-21,12.0,-7.5,26,043
2022-12-22,20.0,-3.0,26,043
2022-12-23,17.0,0.0,26,043
2022-12-24,13.0,4.0,26,043
2022-12-25,14.0,7.5,26,043
2022-12-26,14.5,5.0,26,043
2022-12-27,17.5,8.0,26,043
2022-12-28,27.0,15.5,26,043
2022-12-29,36.0,26.5,26,043
2022-12-30,43.0,29.5,26,043
2022-12-31,33.5,28.5,26,043
2022-12-20,28.0,21.6,26,029
2022-12-21,26.8,13.4,26,029
2022-12-22,28.8,14.2,26,029
2022-12-23,34.6,19.0,26,029
2022-12-24,20.4,17.4,26,029
2022-12-25,20.8,17.4,26,029
2022-12-26,22.8,18.2,26,029
2022-12-27,26.6,18.2,26,029
2022-12-28,32.8,24.2,26,029
2022-12-29,42.8,31.8,26,029
2022-12-30,51.0,36.8,26,029
2022-12-31,42.8,32.6,26,029
2022-12-20,28.0,21.75,26,047
2022-12-21,27.0,14.0,26,047
2022-12-22,27.0,15.25,26,047
2022-12-23,34.75,21.0,26,047
2022-12-24,22.75,14.25,26,047
2022-12-25,21.25,18.0,26,047
2022-12-26,23.0,18.25,26,047
2022-12-27,24.25,19.0,26,047
2022-12-28,31.0,22.0,26,047
2022-12-29,44.0,29.666666666666668,26,047
2022-12-30,51.75,37.75,26,047
2022-12-31,45.0,33.0,26,047
2022-12-20,27.5,21.25,26,055
2022-12-21,26.5,12.5,26,055
2022-12-22,28.75,13.75,26,055
2022-12-23,30.0,12.333333333333334,26,055
2022-12-24,16.666666666666668,10.666666666666666,26,055
2022-12-25,18.666666666666668,13.666666666666666,26,055
2022-12-26,20.0,12.666666666666666,26,055
2022-12-27,26.75,15.5,26,055
2022-12-28,33.25,17.5,26,055
2022-12-29,44.0,32.75,26,055
2022-12-30,52.666666666666664,37.666666666666664,26,055
2022-12-31,43.666666666666664,31.0,26,055
2022-12-20,29.0,22.0,26,089
2022-12-21,25.5,11.75,26,089
2022-12-22,32.25,15.0,26,089
2022-12-23,29.0,13.75,26,089
2022-12-24,19.0,14.25,26,089
2022-12-25,19.5,16.25,26,089
2022-12-26,21.75,15.75,26,089
2022-12-27,24.0,18.25,26,089
2022-12-28,35.75,22.25,26,089
2022-12-29,46.5,35.25,26,089
2022-12-30,53.5,38.0,26,089
2022-12-31,39.75,30.5,26,089
2022-12-20,30.0,17.0,26,101
2022-12-21,20.0,12.0,26,101
2022-12-22,34.0,12.0,26,101
2022-12-23,13.0,5.0,26,101
2022-12-24,16.0,13.0,26,101
2022-12-25,16.0,12.0,26,101
2022-12-26,24.0,15.0,26,101
2022-12-27,27.0,15.0,26,101
2022-12-28,43.0,25.0,26,101
2022-12-29,54.0,42.0,26,101
2022-12-30,54.0,32.0,26,101
2022-12-31,33.0,29.0,26,101
2022-12-20,24.0,20.0,26,113
2022-12-21,27.0,7.0,26,113
2022-12-22,24.0,7.0,26,113
2022-12-23,32.0,10.0,26,113
2022-12-24,13.0,10.0,26,113
2022-12-25,15.0,11.0,26,113
2022-12-26,16.0,10.0,26,113
2022-12-27,18.0,10.0,26,113
