date,TMAX,TMIN,TAVG,GDD,state_ansi,county_ansi
2022-01-20,50.0,50.0,50.0,0.0,26,041
2022-01-21,50.0,50.0,50.0,0.0,26,041
2022-01-22,50.0,50.0,50.0,0.0,26,041
2022-01-23,50.0,50.0,50.0,0.0,26,041
2022-01-24,50.0,50.0,50.0,0.0,26,041
2022-01-25,50.0,50.0,50.0,0.0,26,041
2022-01-26,50.0,50.0,50.0,0.0,26,041
2022-01-27,50.0,50.0,50.0,0.0,26,041
2022-01-28,50.0,50.0,50.0,0.0,26,041
2022-01-29,50.0,50.0,50.0,0.0,26,041
2022-01-30,50.0,50.0,50.0,0.0,26,041
2022-01-31,50.0,50.0,50.0,0.0,26,041
2022-02-01,50.0,50.0,50.0,0.0,26,041
2022-02-02,50.0,50.0,50.0,0.0,26,041
2022-02-03,50.0,50.0,50.0,0.0,26,041
2022-02-04,50.0,50.0,50.0,0.0,26,041
2022-02-05,50.0,50.0,50.0,0.0,26,041
2022-02-06,50.0,50.0,50.0,0.0,26,041
2022-02-07,50.0,50.0,50.0,0.0,26,041
2022-02-08,50.0,50.0,50.0,0.0,26,041
2022-02-09,50.0,50.0,50.0,0.0,26,041
2022-02-10,50.0,50.0,50.0,0.0,26,041
2022-02-11,50.0,50.0,50.0,0.0,26,041
2022-02-12,50.0,50.0,50.0,0.0,26,041
2022-02-13,50.0,50.0,50.0,0.0,26,041
2022-02-14,50.0,50.0,50.0,0.0,26,041
2022-02-15,50.0,50.0,50.0,0.0,26,041
2022-02-16,50.0,50.0,50.0,0.0,26,041
2022-02-17,50.0,50.0,50.0,0.0,26,041
2022-02-18,50.0,50.0,50.0,0.0,26,041
2022-02-19,50.0,50.0,50.0,0.0,26,041
2022-02-20,50.0,50.0,50.0,0.0,26,041
2022-02-21,50.0,50.0,50.0,0.0,26,041
2022-02-22,50.0,50.0,50.0,0.0,26,041
2022-02-23,50.0,50.0,50.0,0.0,26,041
2022-02-24,50.0,50.0,50.0,0.0,26,041
2022-02-25,50.0,50.0,50.0,0.0,26,041
2022-02-26,50.0,50.0,50.0,0.0,26,041
2022-02-27,50.0,50.0,50.0,0.0,26,041
2022-02-28,50.0,50.0,50.0,0.0,26,041
2022-03-01,50.0,50.0,50.0,0.0,26,041
2022-03-02,50.0,50.0,50.0,0.0,26,041
2022-03-03,50.0,50.0,50.0,0.0,26,041
2022-03-04,50.0,50.0,50.0,0.0,26,041
2022-03-05,50.0,50.0,50.0,0.0,26,041
2022-03-06,50.0,50.0,50.0,0.0,26,041
2022-03-07,50.0,50.0,50.0,0.0,26,041
2022-03-08,50.0,50.0,50.0,0.0,26,041
2022-03-09,50.0,50.0,50.0,0.0,26,041
2022-03-10,50.0,50.0,50.0,0.0,26,041
2022-03-11,50.0,50.0,50.0,0.0,26,041
2022-03-12,50.0,50.0,50.0,0.0,26,041
2022-03-13,50.0,50.0,50.0,0.0,26,041
2022-03-14,50.0,50.0,50.0,0.0,26,041
2022-03-15,50.0,50.0,50.0,0.0,26,041
2022-03-16,50.0,50.0,50.0,0.0,26,041
2022-03-17,50.333333333333336,50.0,50.16666666666667,0.1666666666666714,26,041
2022-03-18,50.333333333333336,50.0,50.16666666666667,0.1666666666666714,26,041
2022-03-19,50.0,50.0,50.0,0.0,26,041
2022-03-20,50.0,50.0,50.0,0.0,26,041
2022-03-21,50.0,50.0,50.0,0.0,26,041
2022-03-22,50.0,50.0,50.0,0.0,26,041
2022-03-23,50.0,50.0,50.0,0.0,26,041
2022-03-24,50.0,50.0,50.0,0.0,26,041
2022-03-25,50.0,50.0,50.0,0.0,26,041
2022-03-26,50.0,50.0,50.0,0.0,26,041
2022-03-27,50.0,50.0,50.0,0.0,26,041
2022-03-28,50.0,50.0,50.0,0.0,26,041
2022-03-29,50.0,50.0,50.0,0.0,26,041
2022-03-30,50.0,50.0,50.0,0.0,26,041
2022-03-31,50.0,50.0,50.0,0.0,26,041
2022-04-01,50.0,50.0,50.0,0.0,26,041
2022-04-02,50.0,50.0,50.0,0.0,26,041
2022-04-03,50.0,50.0,50.0,0.0,26,041
2022-04-04,50.0,50.0,50.0,0.0,26,041
2022-04-05,50.0,50.0,50.0,0.0,26,041
2022-04-06,50.0,50.0,50.0,0.0,26,041
2022-04-07,50.0,50.0,50.0,0.0,26,041
2022-04-08,50.0,50.0,50.0,0.0,26,041
2022-04-09,50.0,50.0,50.0,0.0,26,041
2022-04-10,50.0,50.0,50.0,0.0,26,041
2022-04-11,53.5,50.0,51.75,1.75,26,041
2022-04-12,54.666666666666664,50.0,52.33333333333333,2.3333333333333286,26,041
2022-04-13,50.0,50.0,50.0,0.0,26,041
2022-04-14,50.0,50.0,50.0,0.0,26,041
2022-04-15,50.0,50.0,50.0,0.0,26,041
2022-04-16,50.0,50.0,50.0,0.0,26,041
2022-04-17,50.0,50.0,50.0,0.0,26,041
2022-04-18,50.0,50.0,50.0,0.0,26,041
2022-04-19,50.0,50.0,50.0,0.0,26,041
2022-04-20,50.0,50.0,50.0,0.0,26,041
2022-04-21,50.0,50.0,50.0,0.0,26,041
2022-04-22,52.0,50.0,51.0,1.0,26,041
2022-04-23,51.333333333333336,50.0,50.66666666666667,0.6666666666666714,26,041
2022-04-24,53.666666666666664,50.0,51.83333333333333,1.8333333333333286,26,041
2022-04-25,59.333333333333336,50.0,54.66666666666667,4.666666666666671,26,041
2022-04-26,50.0,50.0,50.0,0.0,26,041
2022-04-27,50.0,50.0,50.0,0.0,26,041
2022-04-28,50.0,50.0,50.0,0.0,26,041
2022-04-29,51.333333333333336,50.0,50.66666666666667,0.6666666666666714,26,041
2022-04-30,55.666666666666664,50.0,52.83333333333333,2.8333333333333286,26,041
2022-05-01,52.333333333333336,50.0,51.16666666666667,1.1666666666666714,26,041
2022-05-02,51.0,50.0,50.5,0.5,26,041
2022-05-03,50.0,50.0,50.0,0.0,26,041
2022-05-04,51.666666666666664,50.0,50.83333333333333,0.8333333333333286,26,041
2022-05-05,59.0,50.0,54.5,4.5,26,041
2022-05-06,61.0,50.0,55.5,5.5,26,041
2022-05-07,63.0,50.0,56.5,6.5,26,041
2022-05-08,61.666666666666664,50.0,55.83333333333333,5.833333333333329,26,041
2022-05-09,62.0,50.0,56.0,6.0,26,041
2022-05-10,70.0,51.5,60.75,10.75,26,041
2022-05-11,72.0,58.0,65.0,15.0,26,041
2022-05-12,78.5,56.0,67.25,17.25,26,041
2022-05-13,72.0,53.5,62.75,12.75,26,041
2022-05-14,76.5,50.5,63.5,13.5,26,041
2022-05-15,75.0,51.0,63.0,13.0,26,041
2022-05-16,69.0,50.0,59.5,9.5,26,041
2022-05-17,63.5,50.0,56.75,6.75,26,041
2022-05-18,61.5,50.0,55.75,5.75,26,041
2022-05-19,62.5,50.0,56.25,6.25,26,041
2022-05-20,64.5,50.5,57.5,7.5,26,041
2022-05-21,58.0,50.0,54.0,4.0,26,041
2022-05-22,53.0,50.0,51.5,1.5,26,041
2022-05-23,55.5,50.0,52.75,2.75,26,041
2022-05-24,59.5,50.0,54.75,4.75,26,041
2022-05-25,61.0,50.0,55.5,5.5,26,041
2022-05-26,58.5,50.0,54.25,4.25,26,041
2022-05-27,62.0,50.0,56.0,6.0,26,041
2022-05-28,61.5,50.0,55.75,5.75,26,041
2022-05-29,61.5,50.0,55.75,5.75,26,041
2022-05-30,70.0,54.0,62.0,12.0,26,041
2022-05-31,72.5,57.5,65.0,15.0,26,041
2022-06-01,72.66666666666667,50.0,61.333333333333336,11.333333333333336,26,041
